Name,Summary,Image,Contact Info,Ticket Prices,Opening Hours,Latitude,Longitude,Link
故宫博物院,"紫禁城南北长961m，东西宽753m，四面围有高10m的城墙，城外有宽52m的护城河,真可谓有金城汤池之固。紫禁城有四座城门，南面为午门，北面为神武门，东面为东华门，西面为西华门。城墙的四角，各有一座风姿绰约的角楼，民间有九梁十八柱七十二条脊之说，形容其结构的复杂。紫禁城内的建筑分为外朝和内廷两部分。外朝的中心为太和殿、中和殿、保和殿，统称三大殿，是国家举行大典礼的地方。三大殿左右两翼辅以文华殿、武英殿两组建筑。
　　内廷的中心是乾清宫、交泰殿、坤宁宫，统称后三宫，是皇帝和皇后居住的正宫。其后为御花园。后三宫两侧排列着东、西六宫，是后妃们居住休息的地方。东六宫东侧是天穹宝殿等佛堂建筑，西六宫西侧是中正殿等佛堂建筑。外朝、内廷之外还有外东路、外西路两部分建筑。外东路南部是皇子居住的撷芳殿，俗称南三所，北部是乾隆皇帝营建的太上皇宫殿——宁寿宫。外西路南部是皇太后居住的慈宁宫、寿康宫，北部除皇太后居住的寿安宫外，还有英华殿等佛堂建筑。",https://r1.visitbeijing.com.cn/vbj-s/2023/0331/7c2779dbdc46d8dfc64f56c374a2cc78.jpg,400-950-1925,,旺季：8:30-17:00（4月1日至10月31日）淡季：8:30-16:30（11月1日至次年3月31日）提示：除法定节假日外，故宫博物院全年实行周一全天闭馆的措施。,39.916425,116.390810,https://s.visitbeijing.com.cn/attraction/117873
颐和园,"颐和园是中国现存规模最大、保存最完整的皇家园林，中国四大名园（另三座为承德避暑山庄、苏州拙政园、苏州留园）之一。位于北京市海淀区，距北京城区十五公里，占地约二百九十公顷。利用昆明湖、万寿山为基址，以杭州西湖风景为蓝本，汲取江南园林的某些设计手法和意境而建成的一座大型天然山水园，也是保存得最完整的一座皇家行宫御苑，被誉为皇家园林博物馆。
颐和园（Summer Palace）原是清朝帝王的行宫和花园，前身清漪园，为三山五园（三山是指万寿山、香山和玉泉山。三座山上分别建有三园清漪园、静宜园、静明园，此外还有附近的畅春园和圆明园，统称五园）中最后兴建的一座园林，始建于1750年，1764年建成，面积290公顷,水面约占四分之三。
乾隆继位以前，在北京西郊一带，已建起了四座大型皇家园林，从海淀到香山这四座园林自成体系，相互间缺乏有机的联系，中间的“瓮山泊”成了一片空旷地带。乾隆十五年（1750年），乾隆皇帝为孝敬其母孝圣皇后动用448万两白银在这里改建为清漪园，以此为中心把两边的四个园子连成一体，形成了从现清华园到香山长达二十公里的皇家园林区。
咸丰十年（1860年），清漪园被英法联军焚毁",https://r1.visitbeijing.com.cn/vbj-s/2016/0524/20160524013819820.jpg,010-62881077，62881144,,一、公园开放时间旺季（4月1日-10月31日）：6:00开园，19:00停止入园，20:00闭园。淡季（11月1日-3月31日）：6:30开园，18:00停止入园，19:00闭园。二、景点院落开放时间（一）佛香阁、德和园、颐和园博物馆、苏州街旺季（4月1日-10月31日）：8:00开门，17:30停止进入，18:00关门。淡季（11月1日-3月31日）：8:30开门，16:30停止进入，17:00关门。以上景点逢周一关闭（法定节假日除外）。（二）霁清轩、谐趣园、益寿堂、清华轩、玉澜堂、耕织图水操学堂、南湖岛内院落旺季（4月1日-10月31日）：8:00开门，18:00关门。淡季（11月1日-3月31日）：8:30开门，17:00关门。益寿堂、霁清轩、南湖岛内院落、耕织图水操学堂景点逢周一关闭（法定节假日除外）。,39.997595,116.274646,https://s.visitbeijing.com.cn/attraction/101407
皇极殿,皇极殿位于宁寿宫区中轴线前部，主建筑宁寿宫建于单层石台基之上，与皇极殿相接。殿坐北朝南，面阔9间，进深5间，取帝尊九五之制。黄琉璃瓦重檐庑殿顶，前檐出廊，枋下浑金雕龙雀替。明间，左、右次间设殿门，余各次间下砌槛墙。后檐明、次间辟为殿后门，可达宁寿宫，余各间砌墙。殿中四根沥粉贴金蟠龙柱，顶置八角浑金蟠龙藻井，下设宝座，品级仅次于太和殿。殿内左置铜壶滴漏，右置大自鸣钟，制作考究。,https://r1.visitbeijing.com.cn/vbj-s/2017/0921/20170921044411869.jpg,010-85007422,,08:30-16:00 仅在每年清明节、端午节、中秋节、“五一”、“十一”和暑期高峰对外开放。,39.997595,116.274646,https://s.visitbeijing.com.cn/attraction/120920
御花园,御花园位于北京紫禁城中轴线上，坤宁宫后方，明代称为宫后苑，清代称御花园。始建于明永乐十八年 (1420年)，以后曾有增修，现仍保留初建时的基本格局。全园南北纵80m，东西宽140m，占地面积12000㎡。园内主体建筑钦安殿为重檐盝顶式，坐落于紫禁城的南北中轴线上，以其为中心，向前方及两侧铺展亭台楼阁。园内青翠的松、柏、竹间点缀着山石，形成四季常青的园林景观。,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821042151859.jpg,010-85007422,,,39.921234,116.398643,https://s.visitbeijing.com.cn/attraction/120832
坤宁宫,坤宁宫为中国古代宫殿建筑之精华。属于北京故宫内廷后三宫之一，位于交泰殿后面。坤宁宫宫名字出自《道德经》原文：昔之得一者，天得一以清，地得一以宁，神得一以灵，谷得一以盈，万物得一以生，侯王得一而以为天下正。在古代皇后的地位跟皇帝相对，是天下女性中最尊贵的，皇帝是天，皇后就是地，皇帝是乾，皇后是坤，皇后也是天下间之唯一，皇后的寝宫取自道德经中的，坤得一以宁这一句，故名坤宁宫，同理天得一以清，皇帝寝宫名乾清宫。坤宁宫始建于明朝永乐十八年（1420年），正德九年（1514年）、万历二十四年（1596年）两次毁于火，万历三十三年（1605年）重建。清沿明制于顺治二年（1645年）重修，顺治十二年（1655年）仿盛京沈阳清宁宫再次重修。嘉庆二年（1797年）乾清宫失火，延烧此殿前檐，嘉庆三年（1798年）重修。乾清宫代表阳性，坤宁宫代表阴性，以表示阴阳结合，天地合璧之意。,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821035417422.jpg,010-85007422,,10:00-17:00,39.921234,116.398643,https://s.visitbeijing.com.cn/attraction/120831
保和殿,保和殿是中国传统宫殿建筑之精华，属于北京故宫中的一座殿宇式建筑。明永乐十八年（1420年）建成，几经焚毁、重建。现存主体梁架仍为明代建筑。明初名谨身殿，明嘉靖四十一年（1562年）改称建极殿，清顺治二年（1645年）始名保和殿。“保和” 出自《易经》，意为“志不外驰，恬神守志”，也就是神志得专一，以保持宇宙间万物和谐。,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821033109142.jpg,010-85007422,,08:30-16:00,39.921234,116.398643,https://s.visitbeijing.com.cn/attraction/120830
中和殿,中和殿是北京故宫外朝三大殿之一，属于中国传统宫殿建筑之精华。位于紫禁城太和殿、保和殿之间。是皇帝去太和殿大典之前休息的地方，并接受执事官员的朝拜的地方。凡遇皇帝亲祭，如祭天坛、地坛，皇帝于前一日在中和殿阅览祝文。祭先农坛举行亲耕仪式前，还要在此查验种子和农具。 中和殿始建于明永乐十八年（1420年），明初称“华盖殿”。嘉靖时遭遇火灾，重修后改称“中极殿”，现天花内构件上仍遗留有明代“中极殿”墨迹。清顺治元年（1644年），清皇室入主紫禁城，第二年改中极殿为中和殿。“中和”二字取自《礼记`中庸》：“中也者，天下之本也；和也者，天下之道也”之意。三大殿中唯有这间房子可供皇帝一人静静的思考。,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821031350544.jpg,010-85007422,,8:30-16:00,39.921234,116.398643,https://s.visitbeijing.com.cn/attraction/120829
交泰殿,"交泰殿是一处历史悠久的汉族宫殿建筑，属于北京故宫内廷后三宫之一，位于乾清宫和坤宁宫之间，殿名取自《易经》，含""天地交合、康泰美满""之意。是皇帝和后妃们起居生活的地方，约为明代嘉靖年间建，顺治十二年（1655年）、康熙八年（1669年）重修，嘉庆二年（1797年）乾清宫失火，殃及此殿，是年重建。",https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818053628779.jpg,010-85007422,,,39.921234,116.398643,https://s.visitbeijing.com.cn/attraction/120828
养心殿,"养心殿，明代嘉靖年建，位于内廷乾清宫西侧。清初顺治皇帝病逝于此地。紫禁城的建造者只把养心殿作为一座为皇帝临时休息而设的宫殿，仅此而已。康熙年间，这里曾经作为宫中造办处的作坊，专门制作宫廷御用物品。养心殿是一独立的院落，南北长约63米，东西宽约80米，占地5000平方米。养心殿为工字形殿，前殿面阔三间，通面阔36m,进深3间，通进深12m。黄琉璃瓦歇山顶，明间、西次间接卷棚抱厦。",https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818045621545.jpg,010-85007422,,08:30-17:00,39.921234,116.398643,https://s.visitbeijing.com.cn/attraction/120827
太和殿,太和殿俗称金銮殿，为中国古代宫殿建筑之精华，东方三大殿之一。中国现存最大的木结构大殿。位于北京紫禁城（故宫）南北主轴线的显要位置，明永乐十八年（1420年）建成，称奉天殿。明嘉靖四十一年（1562年）改称皇极殿，清顺治二年（1645年）改今名。建成后屡遭焚毁，多次重建，今殿为清康熙三十四年(1695年)重建后的形制。,https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818041313207.jpg,010-85007422,,8:30-16:10（4月1日-10月31日），8:30-15:40（11月1日-3月31日）,39.921234,116.398643,https://s.visitbeijing.com.cn/attraction/120826
