Name,Link,Description,Address,Themes,Latitude,Longitude
故宫博物院,https://s.visitbeijing.com.cn/attraction/117873,故宫博物院是世界上规模最大、保存最完整的木结构宫殿建筑群。故宫位于北京市中心，也称“紫禁城”，是北京中轴线的一颗明珠。,北京市东城区景山前街4号,"博物馆, 遗产古迹, 特色游",39.921234,116.398643
颐和园,https://s.visitbeijing.com.cn/attraction/101407,颐和园是保存得最完整的一座皇家行宫御苑，构思巧妙的长廊、壮观的十七孔桥等景观描摹着一代皇家园林典雅庄重的风范，北京的标志之一，是北京一日游必选景点。,北京市海淀区新建宫门路19号,"遗产古迹, 特色游, 踏青, 赏花, 避暑",39.997595,116.274646
皇极殿,https://s.visitbeijing.com.cn/attraction/120920,皇极殿是宁寿宫区的主体建筑，始建于清康熙二十八年(1689年)，初名宁寿宫。,北京市东城区景山前街4号,"遗产古迹, 特色游",39.921234,116.398643
御花园,https://s.visitbeijing.com.cn/attraction/120832,御花园位于北京紫禁城中轴线上，坤宁宫后方，明代称为宫后苑，清代称御花园。,北京市东城区景山前街4号,"遗产古迹, 特色游, 踏青, 赏花",39.921234,116.398643
坤宁宫,https://s.visitbeijing.com.cn/attraction/120831,坤宁宫为中国古代宫殿建筑之精华。属于北京故宫内廷后三宫之一，位于交泰殿后面。,北京市东城区景山前街4号,"遗产古迹, 特色游",39.921234,116.398643
保和殿,https://s.visitbeijing.com.cn/attraction/120830,保和殿是中国传统宫殿建筑之精华，属于北京故宫中的一座殿宇式建筑。,北京市东城区景山前街4号,"遗产古迹, 特色游",39.921234,116.398643
中和殿,https://s.visitbeijing.com.cn/attraction/120829,中和殿是北京故宫外朝三大殿之一，属于中国传统宫殿建筑之精华。,北京市东城区景山前街4号,"遗产古迹, 特色游",39.921234,116.398643
交泰殿,https://s.visitbeijing.com.cn/attraction/120828,交泰殿是一处历史悠久的汉族宫殿建筑，属于北京故宫内廷后三宫之一，位于乾清宫和坤宁宫之间。,北京市东城区景山前街4号,"遗产古迹, 特色游",39.921234,116.398643
养心殿,https://s.visitbeijing.com.cn/attraction/120827,养心殿是历史悠久的汉族宫殿建筑，始建于明代嘉靖年间，位于内廷乾清宫西侧。清代有八位皇帝先后居住在养心殿。,北京市东城区景山前街4号,"遗产古迹, 特色游",39.921234,116.398643
太和殿,https://s.visitbeijing.com.cn/attraction/120826,太和殿俗称金銮殿，为中国古代宫殿建筑之精华，东方三大殿之一。,北京市东城区景山前街4号,"遗产古迹, 特色游",39.921234,116.398643
乾清宫,https://s.visitbeijing.com.cn/attraction/120825,乾清宫是内廷正殿，即民间所谓“后三宫（乾清宫、交泰殿、坤宁宫）中的第一座宫殿。,北京市东城区景山前街4号,"遗产古迹, 特色游",39.921234,116.398643
北锣鼓巷,https://s.visitbeijing.com.cn/attraction/120810,北锣鼓巷，安定门内大街西侧，呈南北走向。北起安定门西大街，南止鼓楼。,北京市东城区安定门内大街西侧,"遗产古迹, 休闲娱乐, 特色游",39.942009,116.408755
齐白石故居,https://s.visitbeijing.com.cn/attraction/120921,齐白石故居位于辟才胡同内跨车胡同13号。,北京市西城区辟才胡同内跨车胡同13号,"遗产古迹, 休闲娱乐, 特色游",39.91482,116.365046
漪澜堂,https://s.visitbeijing.com.cn/attraction/120907,漪澜堂位于北海公园内，在碧照楼之南，为该处建筑群中的主殿，其西侧为“道宁斋”这组建筑，是乾隆三十六年(1771)，仿照镇江金山寺建造的。,北京市西城区文津街1号,"遗产古迹, 休闲娱乐, 避暑",39.926417,116.3885
北海白塔,https://s.visitbeijing.com.cn/attraction/120900,北海白塔，位于北京北海公园的琼华岛上，始建于清初顺治八年，属于藏式喇嘛塔。,北京市西城区文津街1号,"遗产古迹, 特色游, 踏青, 赏花, 避暑",39.926417,116.3885
北京京报馆旧址,https://s.visitbeijing.com.cn/attraction/120849,北京京报馆位于西城区骡马市大街魏染胡同30号，是邵飘萍1916年后在北京的住所。,北京市西城区骡马市大街魏染胡同30号,遗产古迹,39.891097,116.380704
林白水故居,https://s.visitbeijing.com.cn/attraction/120847,林白水故居为北京原宣武区区级文物保护单位。位于原宣武区棉花头条（见棉花胡同）。,北京市西城区骡马市大街9号,遗产古迹,39.891789,116.378286
谭嗣同故居,https://s.visitbeijing.com.cn/attraction/120846,原湖南浏阳会馆，是谭嗣同1898年在京时的住所。,北京市西城区北半截胡同41号,遗产古迹,39.886434,116.37403
克勤郡王府,https://s.visitbeijing.com.cn/attraction/120794,克勤郡王府国家重点文物保护单位，为清代现存规模较好的一座王府，此府是顺治年间所建。,北京市西城区新文化街西口路北,遗产古迹,39.904295,116.370852
