Historical_figures,Name,Architectural_style,Era,dz,Longitude,Latitude
云南省,崇圣寺三塔,古建筑,唐、五代,云南省大理白族自治州大理市,100.1462238,25.70865124
云南省,太和城遗址,古遗址,南诏（公元649&mdash;902年）,云南省大理白族自治州大理市,100.1796373,25.61048067
青海省,塔尔寺,古建筑,明,青海省湟中县,101.5657995,36.4896728
四川省,泸定桥,近现代重要史迹及代表性建筑,1935年,四川省甘孜藏族自治州泸定县,102.2307933,29.91460512
甘肃省,万里长城－嘉峪关,古建筑,明,甘肃省酒泉市,102.4490953,38.09671785
甘肃省,重修护国寺感应塔碑（西夏碑）,石窟寺及石刻,西夏（公元1032－1227年）,甘肃省武威县,102.6427081,37.92301408
四川省,宝顶山摩崖造象,石窟寺及石刻,宋,四川省大足县,102.8910363,30.36463633
四川省,高颐墓阙及石刻,古建筑,东汉,四川省雅安县,103.0009827,29.99660239
甘肃省,炳灵寺石窟,石窟寺及石刻,北魏至明,甘肃省临夏回族自治州临夏市,103.1919176,35.5798873
四川省,峨眉山圣寿万年寺铜铁佛像,石窟寺及石刻,宋至明,四川省峨眉县,103.3817311,29.5821083
云南省,爨龙颜碑,石窟寺及石刻,南朝,云南省陆良县,103.6864903,24.92514643
云南省,爨宝子碑,石窟寺及石刻,东晋,云南省曲靖县,103.7987041,25.49250851
云南省,段氏与三十七部会盟碑,石窟寺及石刻,大理（公元937－1094年）,云南省曲靖县,103.8005802,25.49266764
四川省,杜甫草堂,古建筑,清,四川省成都市,104.0250211,30.66436178
四川省,王建墓,古墓葬,五代前蜀,四川省成都市,104.044712,30.67580867
四川省,武侯祠,古建筑,清,四川省成都市,104.0469663,30.64719848
四川省,平阳府君阙,古建筑,东汉,四川省绵阳县,104.6962438,31.50125028
四川省,皇泽寺摩崖造象,石窟寺及石刻,唐,四川省广元县,105.8091806,32.44379942
四川省,广元千佛崖摩崖造象,石窟寺及石刻,唐、宋,四川省广元县,105.8427682,32.47347993
甘肃省,麦积山石窟,石窟寺及石刻,北魏至明,甘肃省天水市,106.0041597,34.35221679
重庆市,八路军重庆办事处旧址,近现代重要史迹及代表性建筑,1938－1946年,四川省重庆市红岩村及曾家岩,106.5109569,29.54121682
四川省,北山摩崖造象,石窟寺及石刻,唐、宋,四川省大足县,106.6689202,31.92947865
贵州省,遵义会议会址,近现代重要史迹及代表性建筑,1935年,贵州省遵义市,106.9167632,27.69180466
四川省,沈府君阙,古建筑,东汉,四川省渠县,107.0033275,31.05587367
陕西省,褒斜道石门及其摩崖石刻,古建筑,汉至宋,陕西省汉中市,107.0345071,33.07709218
四川省,冯焕阙,古建筑,东汉,四川省渠县,107.0431562,31.0308501
陕西省,乾陵,古墓葬,唐,陕西省乾县,108.213073,34.58144243
陕西省,昭陵,古墓葬,唐,陕西省乾县,108.2183712,34.52276643
陕西省,茂陵,古墓葬,西汉,陕西省兴平县,108.5699546,34.33629594
陕西省,霍去病墓,古墓葬,西汉,陕西省兴平县,108.5892461,34.34593992
陕西省,丰镐遗址,古遗址,周,陕西省长安县,108.7641086,34.23376067
陕西省,顺陵,古墓葬,唐,陕西省咸阳市,108.8008505,34.46431356
陕西省,阿房宫遗址,古遗址,秦,陕西省西安市,108.8247205,34.26702565
陕西省,汉长安城遗址,古遗址,西汉,陕西省西安市,108.8862934,34.30943205
陕西省,小雁塔,古建筑,唐,陕西省西安市,108.9373865,34.24088649
陕西省,西安城墙,古建筑,明,陕西省西安市,108.9447895,34.25377195
陕西省,西安碑林,石窟寺及石刻,汉至近代,陕西省西安市,108.9477927,34.2569136
陕西省,大雁塔,古建筑,唐,陕西省西安市,108.9594464,34.21982523
陕西省,大明宫遗址,古遗址,唐,陕西省西安市,108.9672503,34.36845268
陕西省,药王山石刻,石窟寺及石刻,隋至明,陕西省铜川市,108.995406,34.91003501
陕西省,兴教寺塔,古建筑,唐,陕西省长安县,109.0341622,34.09125989
陕西省,半坡遗址,古遗址,新石器时代,陕西省西安市,109.0461019,34.27414573
陕西省,秦始皇陵,古墓葬,秦,陕西省临潼县,109.2597683,34.38649914
陕西省,黄帝陵,古墓葬,,陕西省黄陵县,109.2606901,35.58947562
陕西省,延安革命遗址,近现代重要史迹及代表性建筑,1937－1947年,陕西省延安县,109.4885174,36.59754234
湖南省,溪州铜柱,石窟寺及石刻,五代,湖南省湘西土家族苗族自治州永顺县,109.9476596,28.75069644
山西省,永乐宫,古建筑,元,山西省芮城县,110.6877864,34.71909982
湖北省,武当山金殿,古建筑,元、明,湖北省光化县,111.006492,32.40158891
山西省,侯马晋国遗址,古遗址,东周,山西省侯马市,111.3402618,35.60621374
山西省,丁村遗址,古遗址,旧石器时代,山西省临汾县,111.4200037,35.83764754
河南省,仰韶村遗址,古遗址,新石器时代,河南省渑池县,111.7772096,34.81057534
山西省,广胜寺,古建筑,元、明,山西省洪洞县,111.8063804,36.30119304
山西省,晋祠,古建筑,宋,山西省太原市,112.4455757,37.70449634
湖北省,楚纪南故城,古遗址,东周,湖北省江陵县,112.4614512,30.09793384
河南省,龙门石窟,石窟寺及石刻,北魏至唐,河南省洛阳市,112.4684781,34.5563629
湖南省,韶山冲毛主席旧居,近现代重要史迹及代表性建筑,1893年,湖南省湘潭县韶山冲,112.4881737,27.9115066
河南省,白马寺,古建筑,金至清,河南省洛阳市,112.6003923,34.72325639
河南省,汉魏洛阳故城,古遗址,东汉至北魏,河南省洛阳市,112.6088401,34.71719086
河南省,少室阙,古建筑,东汉,河南省登封县,112.9771766,34.49318156
河南省,嵩岳寺塔,古建筑,北魏,河南省登封县,113.0159293,34.50083044
河南省,启母阙,古建筑,东汉,河南省登封县,113.0419351,34.47359182
河南省,太室阙,古建筑,东汉,河南省登封县,113.0679487,34.4514851
山西省,八路军总司令部旧址,近现代重要史迹及代表性建筑,1938年,山西省武乡县,113.0974169,36.74252174
山西省,南禅寺大殿,古建筑,唐,山西省五台县,113.1140719,38.70121216
山西省,云冈石窟,石窟寺及石刻,北魏,山西省大同市,113.1258177,40.10984518
河南省,观星台,古建筑,元,河南省登封县,113.1405739,34.40219731
山西省,佛宫寺释迦塔（应县木塔）,古建筑,辽,山西省应县,113.1819946,39.56375511
广东省,光孝寺,古建筑,五代至明,广东省广州市,113.2509545,23.13099093
广东省,三元里平英团遗址,近现代重要史迹及代表性建筑,1841年,广东省广州市三元里,113.2582925,23.16326924
广东省,广州公社旧址,近现代重要史迹及代表性建筑,1927年,广东省广州市维新路,113.2594204,23.1269393
广东省,广州农民运动讲习所旧址,近现代重要史迹及代表性建筑,1926年,广东省广州市中山四路,113.2711198,23.12957867
山西省,华严寺,古建筑,辽、金、清,山西省大同市,113.2880574,40.09135268
广东省,黄花岗七十二烈士墓,近现代重要史迹及代表性建筑,1911年,广东省广州市,113.2927478,23.14213456
山西省,善化寺,古建筑,辽、金,山西省大同市,113.2934814,40.08558816
山西省,佛光寺,古建筑,唐至清,山西省五台县,113.3869547,38.86914522
河南省,郑州商代遗址,古遗址,商,河南省郑州市,113.6709261,34.74697766
河南省,郑韩故城,古遗址,东周,河南省新郑县,113.7467961,34.39743855
湖南省,秋收起义文家市会师旧址,近现代重要史迹及代表性建筑,1927年,湖南省浏阳县,113.9255484,28.04675309
山西省,平型关战役遗址,近现代重要史迹及代表性建筑,1937年,山西省繁峙县,113.9482213,39.34029164
河北省,响堂山石窟,石窟寺及石刻,东魏、北齐至元,河北省邯郸市,114.148739,36.53308453
江西省,井冈山革命遗址,近现代重要史迹及代表性建筑,1927－1929年,江西省宁冈县,114.2424649,26.94207495
